,0
255,loodglazuur
282,lover
72,luster
319,lusterglazuur
377,maansteen
138,mahoniehout
207,majolica
170,malachiet
15,marmer
144,mattenbies
161,meerschuim
200,melkglas
186,membraan
111,mensenhaar
240,messing
341,metaal
70,metaaldraad
167,metaalfolie
323,metaalgaren
333,mica
76,millefioriglas
269,mineraal
345,molton
3,mousseline
250,multiplex
358,naaldhout
166,nautilusschelp
45,nikkel
142,notenhout
228,oesterschelp
395,olieverf
205,olijfhout
57,onyx
53,Oost-Indische inkt
29,Oosters papier
125,opaal
322,organisch materiaal
140,pâte
97,paardenhaar
115,padoekhout
6,paillette
174,palissanderhout
30,palmblad
127,palmhout
119,paneel
386,papier
307,papier-maché
136,parel
102,parelmoer
275,paulowniahout
360,pen (veer)
266,peper
168,perenhout
164,perkament
188,perspex
20,pijpaarde
89,piqué
339,pitriet
248,plastic
162,pleister
244,pluche
137,pokhout
169,populierenhout
118,porselein
101,potlood
59,purperharthout
301,riet
191,rijstpapier
159,rijstpasta
173,rips
369,ripslint
210,robbenvel
362,robijn
373,robinia
177,roggenvel
258,roodkoper
36,roodlak
104,rotan
47,rozenhout
129,rubber
325,runderleer
268,saffier
148,salvokaat
376,samiet
219,sandelhout
50,satijn
46,satijnhout
318,satinet
297,schapenleer
238,schellak
196,schelp
171,schildpad
54,segrijn
302,sentoku
327,sepia
143,serpentijnsteen
197,shibuichi
109,sits
332,slak
31,smaragd
262,smeedijzer
156,sodaliet
21,soft paste porcelain
82,solnhofersteen
227,spaanplaat
335,speksteen
354,spiegelglas
206,staal
61,steen (materiaal)
157,steengoed
226,steenkool
374,stopverf
378,stramien
17,stras
371,strohalm
26,struisvogelveer
317,stucwerk
372,suède
285,suassa
353,taf
86,tand
367,taxushout
296,teakhout
273,tempera
370,terracotta
320,textiel
291,thujahout
311,tijk
214,tin
99,tin-lood-alkaliglazuur
403,tinglazuur
90,tinlegering
276,toermalijn
73,toetssteen
287,tombak
22,topaas
401,touw
340,tricot
35,trijp
363,triplex
192,tropisch hout
184,tufsteen
361,tule
204,turf
40,turkoois
387,u
316,veer (vogel)
172,vel
154,velijn
5,verf
397,verfstof
243,verguldsel
178,vernis
224,vilt
242,violethout
185,vlas
123,vloszijde
100,vulkanisch gesteente
399,vurenhout
13,vuursteen
132,walrustand
153,was
108,wasdoek
237,wasleer
69,wasverf
267,water
212,waterverf
290,watten
34,wilgenhout
270,wilgenteen
235,wit marmer
68,without
79,witmetaal
150,wol
12,wortelhout
261,wortelnotenhout
121,zaagsel
44,zand
257,zandsteen
283,zeegras
388,zeemleer
380,zegellak
223,zeildoek
107,zijde
75,zijdelint
264,zilver
310,zilverband
180,zilverbrokaat
368,zilverdraad
313,zilvergalon
381,zilvergeel
134,zilverpapier
48,zilverpoeder
92,zink
4,zoetwaterparel
274,zoutglazuur
93,zwart krijt
